"Address","Coordinates"
"5000 Kasinostrasse, Aarau ","8.047006300000032,47.39232870000004"
"5000 Ziegelrain, Aarau ","8.044551400000035,47.39150680000005"
"5000 Rathausgasse, Aarau ","8.043685900000035,47.39272620000005"
"5000 Asylstrasse, Aarau ","8.042025400000034,47.391439100000056"
"5000 Rathausgasse, Aarau ","8.04381620000004,47.39260690000012"
"5000 Rathausgasse, Aarau ","8.043593600000039,47.39282110000012"
"5000 M��hlemattstrasse, Aarau ","8.047656900000023,47.39487040000043"
"5000 M��hlemattstrasse, Aarau ","8.047286200000023,47.39480590000043"
"5000 Signalstrasse, Aarau ","8.045257600000017,47.38123429999981"
"5000 Rathausgasse, Aarau ","8.043783999999961,47.392643000000206"
"5000 Bleichemattstrasse, Aarau ","8.052982999999967,47.39004000000008"
"5000 Bleichemattstrasse, Aarau ","8.052748999999967,47.39007300000008"
"5000 Neumattstrasse, Aarau ","8.065924899999953,47.40091160000005"
"5000 Laurententorgasse, Aarau ","8.045138000000016,47.3932320000003"
"5000 Stadth��fli, Aarau ","8.043901999999987,47.39390400000065"
"5004 Girixweg, Aarau ","8.05738220000001,47.39983360000028"
"5000 Rathausgasse, Aarau ","8.043947299999976,47.39271550000003"
"5000 Rathausgasse, Aarau ","8.043990899999976,47.392669000000026"
"5000 Rathausgasse, Aarau ","8.043922899999975,47.39250210000002"
"5000 Rathausgasse, Aarau ","8.044043299999975,47.392620200000025"
"5000 Rathausgasse, Aarau ","8.043989999999976,47.39243940000002"
"5000 Rathausgasse, Aarau ","8.044191799999975,47.39247390000002"
"5000 Rathausgasse, Aarau ","8.044227799999975,47.39244280000002"
"5000 Baderg��ssli, Aarau ","8.040750300000017,47.391874300000026"
"5000 Metzgergasse, Aarau ","8.044434899999978,47.393216000000336"
"5000 Metzgergasse, Aarau ","8.043860599999979,47.39380630000034"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08163689999999,47.3980743999998"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08094189999999,47.3971089999998"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08174009999999,47.397745999999806"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.081792599999991,47.397581799999806"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.081845099999992,47.397417599999805"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.081897699999992,47.397253399999805"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.082117699999992,47.3983098999998"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.082118399999992,47.3981585999998"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.082118999999992,47.3980063999998"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.082119099999991,47.3978540999998"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.082119699999991,47.397701999999796"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08212039999999,47.3975501999998"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08094179999999,47.39772909999981"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08094189999999,47.397573799999805"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08094189999999,47.397418699999804"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08058439999999,47.39747799999981"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.080637799999991,47.39731449999981"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.080942899999991,47.39788539999981"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08094189999999,47.3972634999998"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08053179999999,47.39764159999981"
"5032 Triesch��ckerstrasse, Aarau Rohr ","8.08168869999999,47.3979098999998"
"3270 Bahnhofstrasse, Aarberg ","7.278098400000001,47.0445655"
"3270 Bernstrasse, Aarberg ","7.278184999999981,47.04517680000025"
"3270 Bahnhofstrasse, Aarberg ","7.2785507999999615,47.04458000000018"
"3270 S��geweg, Aarberg ","7.27714159999996,47.043653200000186"
"3270 S��geweg, Aarberg ","7.27695559999996,47.04343560000017"
"3270 S��geweg, Aarberg ","7.276579099999961,47.04306130000018"
"3270 S��geweg, Aarberg ","7.2768129999999625,47.04300510000019"
"3270 S��geweg, Aarberg ","7.277189299999965,47.0433724000002"
"3270 S��geweg, Aarberg ","7.277471699999967,47.0439747000002"
"3270 Bahnhofstrasse, Aarberg ","7.278709399999969,47.044787200000194"
"3270 S��geweg, Aarberg ","7.2776534999999685,47.04390740000019"
"3270 Stadtplatz, Aarberg ","7.276598399999982,47.04501700000012"
"3270 Heckenweg, Aarberg ","7.283425499999988,47.04964660000034"
"3270 Leimernweg, Aarberg ","7.282676899999987,47.05008310000035"
"3270 Heckenweg, Aarberg ","7.2834016999999855,47.04978690000034"
"3270 Bahnhofstrasse, Aarberg ","7.277968500000043,47.04456710000079"
"4912 Holenweg, Aarwangen ","7.7758933999999895,47.238503100000294"
"4912 Langenthalstrasse, Aarwangen ","7.7757730999999755,47.230095699999985"
"4912 Langenthalstrasse, Aarwangen ","7.774739899999939,47.23354889999982"
"4912 Langenthalstrasse, Aarwangen ","7.769953699999939,47.23883959999982"
"4912 Langenthalstrasse, Aarwangen ","7.774831100000015,47.23435100000039"
"4912 Jurastrasse, Aarwangen ","7.767702199999939,47.24139649999982"
"4912 Langenthalstrasse, Aarwangen ","7.7717439,47.23724080000058"
"4912 Langenthalstrasse, Aarwangen ","7.775302399999999,47.23309650000058"
"8607 Gstalderstrasse, Aathal ","8.767371400000007,47.33521270000006"
"8522 Kirchweg, Aawangen ","8.89939289999999,47.51275800000059"
"8522 Dorfstrasse, Aawangen ","8.89964779999999,47.512847800000586"
"1227 Rue Fran��ois-Dussaud, Acacias ","6.134611399999959,46.19225370000027"
"1227 Route des Acacias, Acacias ","6.134418199999959,46.190987400000274"
"3715 Oeystrasse, Adelboden ","7.554692799999994,46.48691530000008"
"3715 Oeystrasse, Adelboden ","7.554013199999995,46.48673720000008"
"3715 Bodenstrasse, Adelboden ","7.561822899999994,46.48488160000007"
"3715 Hohliebeweg, Adelboden ","7.574721000000058,46.49148670000021"
"3715 Obere Bodenstrasse, Adelboden ","7.556661099999995,46.474482900000105"
"3715 Hohliebeweg, Adelboden ","7.573760599999995,46.4854733000001"
"3715 Obere Bodenstrasse, Adelboden ","7.557313899999995,46.473487100000106"
"6043 Sonnmattrain, Adligenswil ","8.3822541,47.076482300000094"
"6043 Sonnmattstrasse, Adligenswil ","8.380067500000001,47.07543820000009"
"6043 Sonnmattstrasse, Adligenswil ","8.379410800000002,47.07619560000009"
"6043 Sonnmattstrasse, Adligenswil ","8.379780100000005,47.07641920000008"
"6043 Sonnmattstrasse, Adligenswil ","8.381914000000005,47.07694640000008"
"6043 Sonnmattstrasse, Adligenswil ","8.380069100000005,47.07641750000008"
"6043 Sonnmattstrasse, Adligenswil ","8.381763200000005,47.077008100000086"
"6043 Sonnmattstrasse, Adligenswil ","8.382283400000007,47.07697550000009"
"6043 Sonnmattstrasse, Adligenswil ","8.382881600000008,47.07723740000009"
"6043 Sonnmattstrasse, Adligenswil ","8.381506800000007,47.07714500000009"
"6043 Sonnmattweg, Adligenswil ","8.38111800000001,47.07504960000008"
"6043 Sonnmattweg, Adligenswil ","8.38015350000001,47.07475430000007"
"6043 Sonnmattweg, Adligenswil ","8.38129710000001,47.075002500000075"
"6043 Sonnmattweg, Adligenswil ","8.38021940000001,47.074647400000075"
"6043 Angelmatte, Adligenswil ","8.38097590000001,47.07447260000007"
"6043 Angelmatte, Adligenswil ","8.38090160000001,47.07431280000007"
"6043 Angelmatte, Adligenswil ","8.38035390000001,47.07421300000007"
"6043 Angelmatte, Adligenswil ","8.38017290000001,47.07412230000007"
"6043 Sonnmattstrasse, Adligenswil ","8.38066870000001,47.07370220000007"
"6043 Sonnmattstrasse, Adligenswil ","8.38074230000001,47.07399300000007"
"6043 Am Luzerbach, Adligenswil ","8.37831890000001,47.07311420000007"
"6043 Am Luzerbach, Adligenswil ","8.378602900000011,47.07373900000007"
"6043 Am Luzerbach, Adligenswil ","8.37851740000001,47.07384170000007"
"6043 Am Luzerbach, Adligenswil ","8.37835660000001,47.07359000000007"
"6043 Am Luzerbach, Adligenswil ","8.37811780000001,47.073175800000065"
"6043 Am Luzerbach, Adligenswil ","8.37796200000001,47.07317070000006"
"6043 Baldismoosstrasse, Adligenswil ","8.378367000000011,47.07289940000007"
"6043 Baldismoosstrasse, Adligenswil ","8.374945000000011,47.072483800000064"
"6043 Chriesib��el, Adligenswil ","8.37548230000001,47.07240620000006"
"6043 Chriesib��el, Adligenswil ","8.37557260000001,47.07228580000006"
"6043 Chriesib��el, Adligenswil ","8.37582000000001,47.07188460000006"
"6043 Chriesib��el, Adligenswil ","8.37593790000001,47.07175360000006"
"6043 Winkelb��hlstrasse, Adligenswil ","8.378995500000014,47.07246700000007"
"6043 Winkelb��elhof, Adligenswil ","8.377688600000015,47.071333400000064"
"6043 Winkelb��elhof, Adligenswil ","8.377126200000015,47.07116650000007"
"6043 Winkelb��elhof, Adligenswil ","8.377572300000015,47.07151740000007"
"6043 Winkelb��elhof, Adligenswil ","8.377079100000016,47.07138050000007"
"6043 Winkelb��elhof, Adligenswil ","8.377248700000015,47.07158380000007"
"6043 Winkelb��elrain, Adligenswil ","8.376893700000014,47.07127990000007"
"6043 Winkelb��elrain, Adligenswil ","8.376001400000014,47.071207200000075"
"6043 Winkelb��elrain, Adligenswil ","8.376997400000015,47.07114300000008"
"6043 Winkelb��elrain, Adligenswil ","8.375916600000016,47.07105950000008"
"6043 Blattenstrasse, Adligenswil ","8.368209600000016,47.06983780000004"
"6043 Blattenstrasse, Adligenswil ","8.370940200000016,47.06980440000004"
"6043 Meiersmattstrasse, Adligenswil ","8.365043300000012,47.06988860000005"
"6043 Meiersmattstrasse, Adligenswil ","8.366190800000012,47.06737670000005"
"6043 Meiersmattstrasse, Adligenswil ","8.366098700000009,47.067598200000056"
"6043 Meiersmattstrasse, Adligenswil ","8.36569370000001,47.06923660000006"
"6043 Sonnmattstrasse, Adligenswil ","8.381312600000005,47.0743489000001"
"6043 Sonnmattstrasse, Adligenswil ","8.381711600000004,47.074847500000104"
"6043 Sonnmatthalde, Adligenswil ","8.381812100000005,47.0751848000001"
"6043 Sonnmatthalde, Adligenswil ","8.383594100000005,47.0769098000001"
"6043 Sonnmatthalde, Adligenswil ","8.381979000000005,47.075081100000105"
"6043 Sonnmatthalde, Adligenswil ","8.383844500000004,47.07681960000011"
"6043 Sonnmattstrasse, Adligenswil ","8.381514000000005,47.07498340000011"
"6043 Sonnmattstrasse, Adligenswil ","8.381032000000005,47.07510220000011"
"6043 Sonnmattstrasse, Adligenswil ","8.379480000000004,47.0756671000001"
"6043 Sonnmattrain, Adligenswil ","8.380931500000003,47.0754104000001"
"6043 Sonnmattrain, Adligenswil ","8.382392400000002,47.0764181000001"
"6043 Sonnmattrain, Adligenswil ","8.380673800000002,47.075481000000096"
"8134 Soodring, Adliswil ","8.521268999999993,47.31585230000012"
